Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Parking,id,Provincia,Región,rango_baths,rango_dormitorios,rango_parqueos
336239,lascondes,Presidenteriesco-excelenteubicacion/colegiosek-cerroelplomo,3,2,90.0,2,11320093,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
749030,lascondes,MartindeZamora-SánchezFontecilla,4,2,170.0,2,6526151,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
261496,independencia,VentaCasa3DormitoriosIndependencia,3,2,171.0,0,11658057,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
361146,macul,SectorVillaDivinaProvidencia,3,1,105.0,3,10615183,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
438781,lareina,Tobalaba,3,2,90.0,3,10066522,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
274792,quilicura,DoctorRenéAnzieta,5,3,160.0,2,6331601,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
99626,puentealto,SargentoMenadier/EyzaguirreVillaFerroviaria,3,1,64.0,2,11657752,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
2083101,vitacura,Loarcaya/vitacura,7,5,475.0,0,11657532,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
2083101,vitacura,Loarcaya/vitacura,7,5,475.0,0,11657517,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
1171766,nunoa,MetroMonseñorEyzaguirre/JoséDomingoCañas,6,4,272.0,0,11657499,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
591532,quintanormal,Carrascal/LoEspinoza,5,2,381.0,1,11657495,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
527423,curacavi,LaAuroradeCuracaví/Curacaví,5,3,235.0,1,11657479,Melipilla,Metropolitana de Santiago,1-5,1-5,1-5
753462,nunoa,PedroAguirrireCerdaconCrecenteErrazuriz,4,2,247.0,4,10344634,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
186800,estacioncentral,Av.LasParcelas/ManuelRivasVicuña,3,2,72.0,1,11657461,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
186800,sanbernardo,Loblanco/caminolospino,5,2,207.0,1,11657447,Maipo,Metropolitana de Santiago,1-5,1-5,1-5
186787,maipu,ParqueCentralOriente/Jacaranda,3,3,105.0,0,11657428,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
149440,maipu,Alaska/losministros,3,2,115.0,3,11657406,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
